coding,jobid
0:0,18268369
0,18007441
162,18771728
0,18767623
0:128:6:0,17881370
257:511:311:257:257,18598930
184,17972756
14:8:8:8:0:0:7:1,18673593
0,18287606
384:384,17605143
6:0,18767426
0,18891676
401,18050564
0:0:0:0,18802434
272:272,18342182
279:417:159:131:128,18342342
39,18097954
0,18808087
1:100:68,18664354
0,18462796
256,18774483
129:128:128:128:129:129:129:129:128:129:129:129:135,18163921
0,18426013
272:272:272:286:272:272:272:272:279:407:407:407:286:272:272:272:272,17958267
0,18719575
511:503:423,18872953
135:129:129,17861737
0:0:0:0:0:7:255:0:0:0:0:0:0,18856344
0:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18831487
0,17981713
0,18728303
511,18188648
0,18109859
0:0:0:0:0:0:129:129:129:129:129:129:129:129,18432537
0,18272804
272:272:272:272:272,18340844
511,18808433
166,17865784
0:0,18720439
447:447:319:439:447:447:439:447:447:272:447:447:304:447:447:272:447:400,18786070
4:0:0:0,18145188
0,17974150
272:272:272:272:272:272:272:272:272:280:280:406:286:272:272:272,17975018
304:312:304:304,18815143
0,18085666
0,18232868
0:6:0:0:166:0,17911394
324:102:324:279:305:311:127:0:0:272:400:400:400,18663300
0:0:432:175:46:14:46:0:0:0:4:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18171782
256:256:256:256:272,18602101
272:272:6:2,18538967
0,18670779
0,18755264
0,18202159
0:0:0:0,18178976
6:32:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18447882
0,18025478
38,18245597
400,18768249
128:128:128:128:128:390:175:128:128,18727990
374:324:256,18384620
0:0:0:0:0:0:0:0:0:0:0:388:174:0:0,18141213
257:257:5:257:257:257:255:191,18224944
0,18113852
6:6:6:0:6:6:6:0:0,18031839
0,18551309
0,18063372
0,18651085
0:0:0,18479662
389:384,18263851
0,18411193
0:256:0:0:0:406:374:256:0:0:0,18250992
0:143:1:1,18074490
1:447,18562160
0:0:0:0:0:0,17815977
447,18012721
446:446:446:438:511:432,18052738
46,18542091
511,18075419
0,18099607
0,18888689
288:417,18144344
96,18309420
0,18873105
272,18519816
167:167:167:167:167:167:167:167:167:167:167:167:167:167,17825429
9:1:7:0:0:0,17989879
400:408:401,18711198
0:0:0,18409051
62:447:447,18604579
0,18638983
1:41:1,18439314
128:136:128,18721656
32,18087908
0:0:0:0:2:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:0:0:0:0:0:0:0,18516991
2:2,18525774
129,18770015
0,18727906
0,18464519
0,18551388
0,18230692
0,18013013
0:0,18341457
0,18185911
0,17908451
128,18022918
272,18872765
422:6:6:0,18235905
12:0,17878015
0:0:0:0:96:324:383:272:272:272:272:272:272,18533531
1:0:1:174,18384754
0,18774042
239,18402972
0,18211806
0:0:0:0:0,18103364
0,17831067
128,18026961
130:131,18248726
134:128:128:128:134:128:278:256:256:256:256:256:256:256:256:256:256:256:0,18594767
0,18834185
0,18747214
0,18492312
0,18638668
164,17921543
0,18684806
134:172:0:0,18245029
0,18790090
511:503,18381488
70:0:0,18255360
0,18036144
0,18142474
0,18662176
0,18112353
0:0:0:0:0,18819959
433:433:432:441:432:432,17942110
0,18207039
0,18723008
286:272,18191325
0,18156376
129:129:129:129,18068983
294,18895163
0,18632962
0,18140334
511,17885186
0:0:38:128,18330501
272,18376879
0,18586486
0,18205952
0:0:0:0:0:7:255:0:0:0:0:0:0:0,18868395
191,18762418
0,18371258
14:0:0,18426682
0,17964899
0,18181765
503:406:471:406:503,18230517
0,18205802
0,17827022
0:6,18710731
262,18245243
0:6:4:0:0,17877997
0:0:0,18316474
0,18079267
128:128,18030159
160:160:160:160:46,18756664
8,18692646
0,18831616
7:1:1,18066274
134:190:400:406:406:406:95:304:272:272:272:272:272:273,18653080
40,18042199
406:400:406:400,18339224
160,17605904
160:160,18266785
0:32:0:8:0,18442583
446,18236570
0,18595658
0,18484343
471,18584722
0,18316117
1:511:257:257:257,18309771
0:0:0,18270667
272,18502628
0:0,18123608
6:0,18048376
0,18544911
2:2:0:0,18505108
400:278:310,18793102
272,18128071
0,18868474
400,18257312
40,18213108
0,18444510
272:272:272,18463077
0,17915048
0:0:0:0:0:6:0,18009161
40:32,18284328
0,18422385
0,18237561
432,17996989
272:272:272,18779301
254,18244371
160,18132630
0,18729779
0:0,18125905
272:272:272:272:272:278:286:272:272:272:272:272:272:272:272:272:272:272:272,18835511
471:407:471:407:471:407:471:471:401,18230789
15,18112558
0,18356713
0,18287576
0,18699786
128:128:128:128:128:390:143:128:128,18697252
0,18318711
2:14:0:8:0:32:2:2,18531706
0,18169744
0,18763371
0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18194296
0:0:14:0:0:4:46:0:0:0:0:0:0,18739864
0:0:0:0,18114215
0:37:1:1:1:389:174:0:0:0:0:0:0:0:0:0:0:0:128,18654334
189:96:0,18302393
0:0,18256586
32:0:511:0:0,18153636
0,18774472
0:400:0:384,18816998
0:0,17904115
0,18420389
0,18208530
0,18640878
0,18888501
401,17991005
0,18483618
0:160:160:160:160:272:502:160:160:0:160:160:160:0,18885047
0,18681389
0,18041854
400:502:400:400:400,18368115
256,18858612
0,18147724
8:0:8:0:0:0:166:162:166:162:166:162:166:162:162:166:162:166:162:162:166:162:166:162,18320567
0,18070920
0,18551022
8:0:39:1,18703566
0:0:0:0:6:15:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18490087
0,18405243
0:0:0:0,18764815
0,18213973
191,18710667
128:134:130:128:158:468:230:130:128:130:130:128:130:130:128:130:130:128:130:128,18808554
128:128:128:128:128:128:128:128:128:128:128:134:439:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128,18045482
0:0:0:0:0:260:166:0:0,18864002
0,17601538
1,18047225
511,18037320
0,18400957
8:0:8:8:0:7:1:1:0,18688377
0,18761191
128:128:511:385:385:385:238:130:128:130:128:130:130:128:130:0:2:0:2:2:0,18826581
511,18266043
0,18874503
39:1,18891497
6:447,18283246
0,18502589
400:400:400:400:400:420:406,18469520
0,18321495
162,17605928
0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18295550
137:129,18109731
32,18288188
0,17894284
272:272,18224895
8,17992408
423:0,18878268
0,17981516
511:272,18398854
0,18754677
0,18614349
287:257:111:96,18543054
273,18042920
384:384:384:384:384:384:407:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384:384,18674408
511:388:304,18321398
8:134,18421922
401,17993986
128:128:128:128:128:390:175:128:128,18709150
0,18454228
511,18309950
0,18733812
128:128:128:128:128:390:175:128:128,18701630
0,18669039
62,17895488
128:0:128:175:175:134:128,17921260
0,17898948
511,18851504
32,18765003
286:272:272:272:272:272:286:272:272:272:272:272:311:256:256:256:256:256:256:256:256:256:32:256:256:256:256:256:256:256:256:256:256:256:256:32:256:256:256:256:256:256:256:256,18203708
128:128:128:128:128:390:175:128:128,18697497
0,18094881
436:166:0:55:400:414:503,18741102
400:6:0:0,18858567
128,18070427
511,18191446
0,18682822
0,17843875
0:0,18592560
8,17981318
0,17992991
511:0,18086869
511,18310761
0:0,18356483
368,18183378
468,18880856
0,18652143
8:0,17603577
128:136:128:236:128:406:143:128:128,18697579
0,18485249
38,18472180
0,18098425
0:0:0:0:416:416:418,18123145
0,18309146
6:0:0:0:0:0,18389727
0:0,18886303
0,18888708
0,18232001
272,18434092
0,17960141
496,17857740
0:368:336:336:320:0:272:256:256:256:256:256:256:256:256:256:256:256:256,18554348
511:511:502:511:502:511:511:511:511:511:511:511:511:511:511:511:511:502:511:511:502:511:503:511:511:502:511,18675100
224,18816017
0,17905606
0:8,18621191
0,18094365
0,17991314
129:129,18168751
496:390,18640953
0,17886617
7,18847339
110:332:439,18376108
401,18085218
0:6:14:0,18736975
256:256:32:256:256:256:256:256:256:256:256:6:311:256:256:256:256:32:256:256:256:256:256:256:256:256:256:256:256:32:256:256:256:256:256:256:256:256:256:256:256:256:32:256,17918703
112:368:0:0,18189133
0,18867354
0:0,18258694
0,17996880
0,18050014
0,18555330
272:272:286:272:272,18124696
0:6:0:0:0,18462430
278:471,18318989
511,18306092
0,18338006
0,18203950
39:1:1,18737395
0,18476595
0,18767764
207:463:225:495:246:224:198:192:192:192:192:192:192:192:192:192:192:192:192:192:192:192:64:64:64:64:64:64,18628108
256:256:256:256:256:256:278:256:256:256:256:256:256:256:256:256:256:256:256,18601197
0:0,18330160
0,18056261
1:167:166:134:166,18248433
280,17979603
236:260:128,18296911
160:160:160:160:191:224:160:160,18147669
135:143:142:0,17941863
0:8:8:0:0:0:0,17800899
0,17973486
0,18208603
0,18326336
32:0:0,18832440
0,17919959
0,18499557
0,18626736
136:446:236:366:38:503:102:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18601246
0,18166092
0,18374700
0,17881296
0,18482319
0,18056310
128,18092553
8,18510070
175:225,18435368
272,18782965
188,18465588
447:511:166:255:1:1:1:1:1,18038829
166,18256898
0,18668612
7,18152117
235,18426964
0,18687517
0,18610053
189,18813609
0:0:2:2:2:2:6:2:2:2:2:2:2:2:2:2:2:0:2,18513556
447:436,18424444
272:272:272,18432044
272:272:272:272:272,18682554
0,17834828
32,18234105
0,17848906
8:0,17847690
0,18375378
0,17884415
0,18283689
0,18603813
0:110:0:510:96,18711788
175:239:438:400,18412252
0,18628191
0,18130933
0,17906427
130:128,18774298
0,18425106
0,17941504
0:0:0:423:129:0:0:0,18150231
0:0:0:0:0:0:383:95:31:31:95:31:31:95:31:31:95:31:31:95:31:31:95:31:31:95:31:31:95:31:31:95:31:95:95:95:95:95:351:95:95,18493498
400:400,18600855
496,17850337
0,18300736
0,18190260
433,18019337
166:407:175,18049813
128,17974130
0:0:111:46,17848610
262,17893112
128,18031876
503:511:439:511:401,18329624
0,18602239
0,17886755
0,18584473
7:135:135:135:135:129:7:7:129:135:135:511:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18131472
0:8:0:8:0:0:127:0:0:32:400:400:400:400,18596113
0:0:0:0:0:0:164:160:160:160:160:160:160:160:160:160,18309329
239,18519103
40:0,18126530
0,18221838
0,18898207
0,18030533
0,18732811
503,18164724
0,18168228
6:6,18574029
8,18827206
0,18806571
0,18475643
0:0:0:0:0:0:230:128:128:128:128:128:128:128:128:128:128:128:128:128:130:128:128:128:128:128:128:128,18551872
374:0:32:272:164,18670653
0:0:0:6:15:6,18478257
272:272:272:272:272:406:286:272:272:272:272:272:272:272:272:272,18454357
0:0:0:0:0:38:22:22:22:16:22:22:6:6:6:6:6:126:102:0:0:0:0:0:0,18783086
174:134,18828236
8,18007052
0,18743918
0:6:6:310:46:294:175:128:128,18821600
8,18760472
7,18152206
511:511,18621301
14:374:2,18682956
0,17877861
304:272:272:272:272:400:375:272:272:272:272:272:272:272:272:272:272:272:272:272:272:272:272:272:272:272:272:272:272:304:272:272:272:272:272:272:272:272:272:272:272:272:304:272:272:272,18883535
129,18047266
0,17954542
8:0:4:0,18365473
511,18611424
0:0,18182442
503,18092757
0,18539115
2:14:0:8:0:0:2:2:2:2:2:2:2:2:2:0:2:2:0:2:0:0,18523855
0,18849978
32:32:62:32:32:62:135:129:129:129:129:129:129:129,18409870
1,18504443
167:511,18079470
0,18867512
0:1:129:7:7:129:0,18055430
4:164:175:175:167:175:6:0:0:0:0:0:0:0:0:0:0:0:0:6:0,18454466
6:0,18736547
368:368:368:374:368:368:368:368:368,17980928
0:0,18195926
0,18164247
272:272:0:0:0:0:4,18641073
374:336:0,18574164
511,18023356
44:511:255:63:46:511:38:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18681613
0:0,17902895
0,18424932
356:485:174:96,18398063
185,18337014
0:0:0:96:0:0,18455069
8,18682929
128:128:128:128:128:128:128:128:128:128:128:128:38:128,17863998
0,18101021
0,18287855
0,17912394
0,18140018
0,17960266
511,18884613
0,18659145
382:336:503,18578851
401,18236324
0,18020334
128:128,18306768
0:8:0:108:0:436:174,18623069
0:0,18888460
0:0:0:0:0:0:0:0:8:0:0:0:374:100:375:102:96:102:96:102:96:102:102:96:102:96:102:96:102:102:96:102:96:102:96:102:102:96:102:96:102:102:96:96,17897347
0,18704026
160,18133201
511,17935514
432,18521005
432:432:432:432:432:432:432,18061876
128:128:128:128:128,18142890
390:470:279:401:401:407:401:433:433,18181046
0,18068407
0,18458135
0,18745453
273:279:405,18677035
40:0:0,18596463
0:0:14:0,18732677
130:130,18830358
131:135:143:131,18345691
96:454,18688547
0:0:0:0:0:0:0:0:0:160:160:160:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18158162
160:160,18218926
0,18775711
191,18666739
191,18614521
0,18244766
0,18175270
129:129:129:407:134:129:129:129:129:129:129:134:38:128:0,17985979
265:257:263:511,17847883
0:0:0:0:0:0:0:0:0:0:0:0:129,18206761
160,18451718
255,17935804
0,18655383
256:502,18867378
227,18538308
302,18764158
0:0:0:0:0:0:36:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18452009
38:511:272:272,18209891
24:40,18120167
0:0:0:0:272:0:4,18703266
28,18664188
310:272:278:272,18208776
511:342:102:324:0:0:166:0:0:0:0:0:0:0:0,18690112
0,18040349
128:0,18278502
0:0,17869539
471:407:374:324:0,18506724
256:256:256:256:256:256:278:256:256:256:256:256:256:256:256:256:256:256:256,18650743
0:0:0:0:0,17982420
8,17805682
0,17925449
0,18753470
272,18494108
0:272:272:511:0,17974429
32:256:256:256:256,18244848
135:128,18268585
32:32,18414645
162:434:6:29:503:467:191:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128,18772078
9:47:318:40,17838397
0,18776373
0,18500046
0,18749353
8,18669857
0,18794721
0,18242261
0,18663457
6:12:0,18823497
0:0:0:0:0:34:96:160:160:160:0:128:0:0,18864465
0,18108614
0,18218419
0,18334391
401,18063417
0,18033759
0,18858319
0:0:0,18720249
504,18100641
0,17936504
0,18236916
0,17890154
511,17873364
0:0,18015430
511:239,18593678
255,18400424
0,17949611
128:128:166:0,17984047
0,17885135
46,18063910
191,18593318
160,18575727
128:128:134:128:128:166:134:0:0,18875321
5:165:470:503:400,18217823
0:0:0:0:0:0:0:0:0:0:0:0:4:0:0:0:0,18061149
0,17904390
0,18231105
0:0,18814786
1,18538878
0,17962742
0,18613718
32,18579641
511:511:444:414:318:318:304:286:272:286:272,17915624
400:400:400:400:400:400:166:0:0:0:0:0:0:0:0,18524304
0:0,17842808
0,18135319
0:174:0:0:0,18248918
0,18263205
128:128,18575262
32,18749169
0,18792880
0:0:0,18399355
0,18142808
0,18584263
0,18247484
446,18242912
0,18746542
511,18528058
0:0:0,18036736
381,18003123
0,18309746
270,18855726
0:0:0:0:0:4:276:256:256:256:256:256:256:256:256:256:256:256:256,18570718
0,18422871
0:0:0,18124127
31,18515505
511:447:447:447:511:511:511:479:447:142:142:278:502:0:0:0:0:0:0:0:0:2:128:0:0:0:0:0:0:0:0:2:128,18034277
0,18312606
128:128:128:511:128:128:128:128:128,18198346
272:272:272:272,18501651
0:0:6,18111525
0,17800886
0,18234416
400:400,18396962
511:468:511:0:0,18551136
0:0:0:0:0:0:6:128:0:128:0:128:128:128:128:128:0:128:0,18305120
368,18298153
0:174:0:0:0:0:0:0:0:0,17898071
260:0:0:0,18864590
0,18285246
169,18129142
0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18296528
272:272:0:0,17939544
10:0:8:0,18523169
0,18528116
511,18550788
135:129,18128606
0,18822708
2:2:3,18504008
1:1,18284379
0,18686123
0:0:36:6:111:32,17874794
0,17814763
128:128:128:128:128:390:175:128:128,18700532
0,18335897
0:0:0,18061355
511,17816741
0:0:0:32:32:32:472:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128,18567455
0,17956932
8,18184120
0:0:44:1,18804807
435:437:433,17853738
0:374:336:336:0:0:287:272:272:272:272:272:272:272:272:272:272:272:272:272:272,18444029
464:72:64,18407638
4,17609299
0,17981530
0,18040281
0,18708807
0,18565939
432:416:416:432:432:432:447:511:384:390:401:388:110:0:0:0,18187588
0:0:0:0:0:0:6:0:0:0:0:0:0:0:0:0:0:0:0:6:4:4:4:166:175:167:39:175:163:32,18755294
272:471:310:239:438:502:134:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128,18452294
256,18512290
0,18014896
8,18486721
166,17952651
0,18482573
0:0:0:0:0:0:0:0:0:0:0:0:72,17602019
235,17605558
0:0:0:0:0,18118567
0:0:0:0:0:388:174:0:0:0:0:0:0:0:0:0,18315298
310,18161214
0:142:0:0,18236006
511:0,18134538
0,17905083
511,17608132
0,18139811
0,18708958
496,18871439
0:0:0:0,18819890
0:0:0:0,17865552
0,18279725
21,18550117
0,18761675
5,18349060
0,17919343
0:0:0:0,18097260
0:64:324:96:324:164:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18420064
0,18768003
2:14:0:8:0:0:2:2:2:2,18554909
432:400,18346716
0,18686342
8,18040355
0:0,18543765
0,17940704
2:0:2:14:0:0:2:2:2:2:2:2:2:2:0:0,18507095
400:406:400:400,18767946
0:495:102:468,18321526
0,18209234
128:128,18891045
136:128:502:400:414:128:136:136:136:128:128:230:310:128,17843590
0:0,17604621
0:238:0:510,18811256
0,18773394
135:129,18109086
0,18709935
128,17973988
12:1:0:1,18385079
0,18720923
0,18186948
166,17882727
0,18275491
0,18000605
0,18792089
0:0:0:0:0:0:276:256:256:256:256:256:256:256:256:256:256:256:256,18650747
29,18839436
0,18635044
0,18712586
511,17954251
0:0:486:38:6:38:0:0:0:0:0:0:0:0,18829797
0:0:0:8:0,18543784
0:0,18528181
0,18831564
0,18206728
0,17905079
502,17602107
257:257,17944004
255:191:191,18519437
336,18759755
0,18375043
0,18891251
0:0,18178078
166,18830226
1:511:191:257:257,18277590
0,18163224
8:0:0:32:0:0:0,17938068
0,17910663
0:0:0,18185994
0:46,18784875
324:128,18373686
511:511:511:510:32:511:318:272:272:272:272:272:272:272:272:272,18607189
96:0:0:32:175:255,18614376
0:0:254:0,17912991
0:0,18881420
255,17606193
0:0:0:0:0:0,18744181
0,17979615
0,17905713
0,18811535
0,18770868
384:384,17922457
0:0,18864180
32:0,18263591
8:0,18719360
0,18105181
0,18025453
0:0:0:0:0:0:7,18593813
0:0:0:0:0:32:6:0:0:0:0:0:0:0:0:0:0,18242863
0:0:0:0:0,18076809
0,18743847
0,18404881
0,18276547
7,18125225
511:33,18067599
0,18676065
0:6:400:400:400:400,18430292
135:128,18280164
0,17852069
256:0:0:0,17943787
128:0:0:0:0:0:0:0:0:260:128:496:502:0:0:0:0:0:0:0:0:130:128:0:0:0:0:0:0:0:2,17996517
502:479,18466609
128:128:128:511:0:436:175:128:128,18735056
14:0:8:0:0:0:2:2:2:2:2:2:2:2:2,18529634
0,17908304
62:46:46:46:46:447:7:0:0:0:0:0:0:0:0:0:0,18697590
0,18602216
47:5:33,18664118
0,18852218
0,18662449
0:0:0:0:0:0:6,18870423
12:0,18395731
0,18010286
0,18035101
0:0:0:0:0,18118576
264:256:256:256:256:256:262:256:256:256:256:256:256:256:256:256:0:0:0,18594848
1,18719121
0,18104022
437:407:407:407:407:511:8:0:0:0:0,18875307
167:167:167:167:167:167:167:167:167:167:167:167:167:167,17822108
0:0:0:0:0:0:0:0:0:160:160:160:6:0:0:0:0:0:0:0:0:0:0:0,18196573
0:0,18326886
0,18875721
0,18375061
8:0,18778241
0,18346636
8:0:0,18819492
0,17876371
0:0:14:0,18730735
272,18843199
256:256:384,18456588
0,18585986
272:272:272,18343831
64:0:0:0:0:0:0:0:0,18198309
0:0:0,18130434
0,17800115
0,18590805
128,18217575
0,17907578
0:0,17982396
0,18609633
129:129:129,17832759
175,18198220
511,17853315
272:272:272:272:272:287:95:272:272:272:272:272:272,18751039
0,18667643
509:96:436:38:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18281930
0:0,18165865
128,18789798
238:511:447,18405816
0,18489368
0,17980010
272,17991538
176,18451669
0:14:0:129,17847341
511:374:0,18567892
511,18254244
0:0:0:0:0:0:4:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18501099
0,18806586
0,18714975
0:0:0,18020607
0,18597360
0:0,18082696
118,18100961
0:0:0:0:0,18504339
0,18375216
189,18590447
0:0,18592181
0,18465669
128:128:128:128:384:135:311:0:128:128:128:128:128:0:0:128:128:128:128:128:128:0:0:128:128:128:128:128:128:128:384:128:128:128:128:128:128:128:0:0:128:128:128:128:0:0,18796638
0,18019289
400:400:400:400,18688247
0:174:0,18245983
272,18234852
0,18767804
0,18208862
0:0,18577924
0:0:0:108:0:388:174:0:0:0:0:0:0:0:0:0:0:0:0:0,18815775
447,18588893
32,18049018
8,18761721
0,17999806
0:0:0:0:0:0:286,18320672
0,18849989
0,17918145
0:0,18006314
6,18103736
263:431:257,18828920
160,18730838
0,18416724
0,18312687
0,18272593
0,18630753
255:239:239:239,18669118
256:0:256:256:256:0:256:256:256:257:257:446:278:432:384:0:128:0:128:128:0:128:0:128:128:0:128:0:128:128:0:128:0:128:128:128:128:0:128:0:128:128:0:128:0:128,18171931
0:0:0:0:0:0:358:0:0:0:0:0:0:32:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:32:0:0:0:0:0:0,18357476
0,18331156
0,17896845
0:0:0,18410937
0:0:278:471,17848003
4:0,18147599
129,17995709
239,18196278
88,18012755
0:0:0,17865135
0,18439284
407:1:1,18624238
0:0,18179212
503,17905615
406:406,18777908
0,18240648
0:0:0:0:8:0:0,17808242
511:255:0,18307447
0:0:0:0,18402461
0:1:1,18274111
352,18556668
256:0,18135639
46:46:46,18702939
128:128:128:406,18791791
0,18468896
129:129:6:400:400,17989802
0,17900173
0,18010563
0,17893742
8:511:511,17822811
0,18702092
0,18193091
0:0:0:0:0:0:0:0:0:0,18027125
0,17881084
511,18775709
272:272:272:272:272:272,17944489
8,18801388
374:336:0:375:39:2:38,18598844
128,18604119
5,18497098
319:15:7,18820671
36,18852555
128,18022661
129:129:129:129:129,17989592
0,18092816
0:0:0:0:0:388:174:0:0:0:0:0:0:0:0:128,18277683
0,18629813
6:6:4:4:6:6:6:0:0:0:0:0:0:0:0,18624217
0:0,17609760
0,18629862
447,18125258
500,18809573
278:0:0:0:0:0,17918033
128:128:128:128:128:135:311:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128,18705258
511,18154450
0:0:0:0,18151373
46,18684829
511,18709855
447,18217248
227,18788797
496,18809597
6:0:368:464:448:128:230:160:0:128:160:160:160:0,18586055
1:1:1,17871968
0:0,18335232
0,18091729
109:32,18137881
257:257:257:511:257,17957423
272,18139016
0,17868432
32,17962283
0:134:191:191:1,17961942
46,18227715
103:1:1,18894310
0,18151893
0:0:0:128,17909281
0:0:0:0:4:384:384,17843930
160:0:160:0:160:0:160:160:0:160:0:432:358:160:0:160:0:160:0,18146018
0,18629687
0:129,18321921
0,18511912
0,17849140
0,18295962
134:128,18172846
0,18483176
272,18684027
0,18261460
128:128:128:128:128:384:422:386:386:386:387,18819886
46:166:0,18265348
511,17607372
0,18184034
96:0:0,18582550
374:502:0:374:336:0:175:128:128,18717302
1:511:511:0:0:255:7:1:1:1,18342477
0:0:0:0:0:0:0:0:0:0:0:0:0,18516912
0:0:6:0:0:0:0:0:0:0:0:0:384:384:384:384,18817748
318,18175520
128,18217735
135:129,18128828
0:0:0:0:6:0:358:0:0:0:0:32:0:0:0:0:0:0:0:0:0:0:0:0:32:0:0:0:0:0:0:0:0:0:0:0:32:0:0:0:0:0:0,18361497
128,18177717
0,17942003
0,18060456
0:0:38:1,18649980
0:0:0:6:318:0,18204138
0:0,17906250
32:7:47:255:257,18152863
0,18548662
498,18855599
0,18378673
0:0,17865190
0:0,17934784
0,17880512
0:0,18122801
160:0:160,18081192
0:503:502:502:166:418:311:304:433:0:0:128:0:128:0:128:0:128:128:0:0:128:0:128:0:128:0:432:0:128:0:128:0:128:0:0:128:0:128:0:128:0:0:128:0:0,18744830
23:1:1,18529640
446,18521319
0,17946161
0,18377911
256:256:256:256:256:0:311:256:256:256:256:256:256:256:32:256:256:256:256:256:256:256:256:256:256:256:0:256:256:256:256:256:256:256:256:256:256:256:32:256:256:256:256:256,18444099
271:257:12:32:32:502:128:128:0,18494118
0,18558102
0,18892793
46:446,18685431
0,18283903
0:0:0:0:0:0:358:32:32:32:32:32,18649509
0,18040697
0,18216325
110:40:500,18507267
0,18053443
0:0,18352567
0,18197082
166:511:191:406:406:407:7:1:1,18423441
400:272:438:436:400,18147273
6:46:46,18675205
40:0,18169858
272:272:272,18140516
0,18892914
128,17922316
40,18666614
0:0:128:128:128:128:70:0:32:32:160:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18706362
0,18057481
272,18011285
0,18569758
0,18767669
0:0:0:0,17930933
511,18310489
273,18119341
0:0:0:0:0:134:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:128:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18309177
368:383,18586412
56:0,18027465
0,18736729
0,18412851
511:31,18443505
288,18264665
511,18189213
471:407:407:471:407:471:401,17873656
0,18119349
0,18759633
0,17975512
0:0,18574965
0:0:0,18827806
0,17842517
0,17851034
0:0,17879235
0,18103757
0:128,18280464
0,18679653
0,18670194
0:0,18760605
0:0:0:0:0,18036400
0,18804070
406:6,18370424
135:1:0,18642658
128,18602293
0:0,18534279
0,18038462
0,17954671
8,17994077
510:0:0,18316690
511,18188808
272,18696588
24,18484413
32,18167918
503,18187363
0:0:0:0,18841013
0:0:0,18582513
0,18746003
0:0:0,18749064
255:255:255:255:239:255:511:511:511:511:511:511:511:511:511:503:511:511:511:502:511:511:502:511:502,18404608
193:197:192,18628599
384:384:384,18314492
0,18526332
15,18629061
304,18713925
0:0:0:0:0,18425388
128:6,18154551
320:6:368:336:336,18714536
0,18378021
0,18206193
0,18112356
0:0:0,18634239
400,17830595
511,18475511
127,18097236
0,18022885
0,18760207
0,18340917
0:0:255:127:511,18211621
0,18290783
0,17920602
436,18449173
0:0:0:0:4:0:135:129:129:129:129:129:129:129,18420920
0,17877095
288,18417139
1:1,18135461
400:406:406:400,18269955
224:484,18357118
0:0:262:272,18208227
1,17906841
7,18164521
0,18237661
0,17933056
318:446,18154687
40,18721201
32,18760719
0,17983050
0,17895489
134:134,17939205
348:272:272:272:272:278:143:128:128,18696849
446,18236467
0,18825350
0,18811564
0,18059918
511,18769976
256:384:256:256:256:256:502,18232970
23:1:1,18880013
400:287:128:128:128:132:31:272:272:272:272:272:272,18752510
0:0,18667520
478:96,18440488
409:287:286:271:422:38:6:0:134:0:134:0:0:134:0,18780704
0,18113433
0,18563211
0:0,18635643
381:6:0:32:129:129,17840937
1:33,18348189
0,18207087
432:432:432:432,18008196
272:272,18835782
511,18090578
