coding,jobid
1:7:111:438,17880124
0:0,18747812
0:8,18506644
401,17979432
128:135:7:281,18490416
432:496:511:496:503:511:127:432:432:432:432,18449460
32:32:32:32:32:160:102:32:32:32:32:32:32:32:32:32:32:32:32:32,18726409
0:0:0,18180606
0:0,18416119
0,18585992
0,18140165
0,18310093
239:162,18544080
503,18633830
0,18670529
0,17808824
447:511:511:511:439:447:238:0:32:32:32:0:32:32:32:0:32:0,18795605
175:30:39:175:6:167:4:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18350995
511,17862578
257,18292295
0,18288199
511:503,18535048
8,18789098
38,18753942
0,18697806
128,18696165
174,18529363
8:100:0,18302576
0,17955721
0:0:0,18521193
0:128:0:0:128:166:166:0:0:0:0:0:0:0:0,18682761
0:0:0:0:0:272,17867686
128:128:175,18592180
272:272,18481604
0,18816026
368:336:502,18715896
0,18275669
0:0,18820761
0,18151563
0:0:0:166:0,17847814
192:192:192,18482068
0,18304323
0,18787756
0,18680339
0:0,18854348
1:510:324:510:96,18622743
0,18006541
0,18342266
0,18457951
400:503:400:400:400,18341665
0,18113862
400:502:400:400:400,18265044
134:278:8:1,18443914
0:0:32,17908935
0,18302026
39:166,18496724
0,18016895
502,18829945
0,18377943
0:0:0:0,18114302
128,18874491
0:0:0:0:0:0:0:0:0:0:0:0:0:0,18436988
256:384:422:0:110:262:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18540420
511:430:447:447:7:1:1,18016007
438:0:0:0:0:0:286:272:272,18455953
401,18030621
0:0:0:0:0:0:0:0,17826692
0,18391580
0:0,18397567
174:255:174:0:0:0,18355342
0:0:0:0:0,18071999
406:272:6:0:38:438:390,18430824
0,18039882
0:0:0,18416565
502:32:256:256:256:256:256:256:256:256:256:502:310:256:256:256:256:256:256:256:256:0:256:256:256:256:256:256:256:256:256:256:256:256:32:256:256:256:256:256:256:256:256:256,18014796
0,18047361
183:183:4:0:0:6:304:128:0:128:128:0:128:128:128:128:0:128:128:0:128:0:128:128:0:128:0:128:128:0:128:0:128:128:0:128:0:128:128:0:128:0:128:128:160:0,18276261
0,18183137
400:400:400:400:400:400:400:400:400:400:400:400:406:400:384,18184896
0,18756840
471,17970981
0,18477861
0:8:0:0,18388480
0,18384116
0,18208892
5,17959895
180:511:6:0:0,18676079
96:262,18829603
0:511:102:486:100:324:230:130:130:130:130:130:130,18816459
390:400:400:400:406:390:102:96:32:0:0:0:0:0:0:0:0:0:0:0:32:0:0:0:0:0:0:0:0:0:0:0:0:32:0:0:0:0:0:0:0:0:0:0:0:32,18794612
0,18073766
0,17895551
224,18313269
